id;alias;coordinates_id;display_phone;distance;image_url;is_closed;location_id;name;phone;price;rating;review_count;url
ypqK8DWM8Bcs43YveSJnNw;manhatta-new-york;56993e9d-f118-4892-92c3-1daf2da802ad;(212) 230-5788;1262.2789968123395;https://s3-media0.fl.yelpcdn.com/bphoto/LXosO4Fd6amoOhWAlliujw/o.jpg;0;517faa27-b02d-47a2-96d4-e80e109aee14;Manhatta;+12122305788;$$$$;4.4;846;https://s3-media0.fl.yelpcdn.com/bphoto/LXosO4Fd6amoOhWAlliujw/o.jpg
ysqgdbSrezXgVwER2kQWKA;julianas-brooklyn-3;9f6df2ba-b5ac-43a1-8316-38a19fa29f81;(718) 596-6700;318.8762608116642;https://s3-media0.fl.yelpcdn.com/bphoto/hGdBQaTUkdXT_Eb8aR-jww/o.jpg;0;66c9ee7a-d369-4548-886c-0506298ca6b4;Juliana's;+17185966700;$$;4.4;2904;https://s3-media0.fl.yelpcdn.com/bphoto/hGdBQaTUkdXT_Eb8aR-jww/o.jpg
h37t9rA06Sr4EetJjKrfzw;don-angie-new-york;81948de7-03bc-4ca9-a9bf-8b5b0d9edd41;(212) 889-8884;3646.541688095945;https://s3-media0.fl.yelpcdn.com/bphoto/onJX6_vaMPHXUqIbMrq79A/o.jpg;0;6aeaeeb6-324e-46af-b90d-71b53cbcf3b8;Don Angie;+12128898884;$$$;4.5;1022;https://s3-media0.fl.yelpcdn.com/bphoto/onJX6_vaMPHXUqIbMrq79A/o.jpg
nRO136GRieGtxz18uD61DA;eleven-madison-park-new-york;4f00c8b4-c4de-43d3-a115-83ba10b33f4f;(212) 889-0905;4062.929570044286;https://s3-media0.fl.yelpcdn.com/bphoto/N91ZB8f0d39UAJeqvb89DA/o.jpg;0;7a9cb395-6d27-4dbb-bd81-209c17f7629c;Eleven Madison Park;+12128890905;$$$$;4.3;2611;https://s3-media0.fl.yelpcdn.com/bphoto/N91ZB8f0d39UAJeqvb89DA/o.jpg
X8ZS-dgiMIJvhwf9SaDnjw;wah-fung-no-1-new-york-2;d41ace7f-e562-40a9-865d-29c79d3ca321;(212) 925-5175;1312.163419247579;https://s3-media0.fl.yelpcdn.com/bphoto/EtNBOjR4BkXlPFI1fQc2zg/o.jpg;0;f5dfd6e3-ba21-4fd0-9d21-1cf46f06ab6b;Wah Fung No 1;+12129255175;$;4.4;2314;https://s3-media0.fl.yelpcdn.com/bphoto/EtNBOjR4BkXlPFI1fQc2zg/o.jpg
j1S3NUrkB3BVT49n_e76NQ;best-bagel-and-coffee-new-york;00910c46-6b0d-40e0-821c-f1be90dc08cc;(212) 564-4409;5202.248023208401;https://s3-media0.fl.yelpcdn.com/bphoto/wYrFi-rcjybZVDTVGPHamQ/o.jpg;0;c7801773-7c22-4bd1-8031-fd4ec02fef35;Best Bagel & Coffee;+12125644409;$$;4.5;5112;https://s3-media0.fl.yelpcdn.com/bphoto/wYrFi-rcjybZVDTVGPHamQ/o.jpg
8XHbZIKDQbXhyKIGiukVeQ;boucherie-union-square-new-york-2;19c70141-2d16-4e90-8650-1d5b31375894;(212) 353-0200;3562.838956053007;https://s3-media0.fl.yelpcdn.com/bphoto/-vu8z0hcRDnZ8uOKJ3joJQ/o.jpg;0;e77f8978-7bf5-4c10-9151-ed74e12dc25c;Boucherie Union Square;+12123530200;$$$;4.4;1788;https://s3-media0.fl.yelpcdn.com/bphoto/-vu8z0hcRDnZ8uOKJ3joJQ/o.jpg
VvsZAnEwU4c8Xkyrzx05Nw;anytime-kitchen-new-york-2;c9f19f04-be3e-4b25-abac-e878b08f0b64;(646) 669-7733;4736.528034255248;https://s3-media0.fl.yelpcdn.com/bphoto/q9USNL58Hz3WcQhY8VPB4Q/o.jpg;0;afd15f65-815f-433f-a370-948341e4f0fc;Anytime Kitchen ;+16466697733;$$;4.6;3189;https://s3-media0.fl.yelpcdn.com/bphoto/q9USNL58Hz3WcQhY8VPB4Q/o.jpg
U5hCNNyJmb7f3dmC1HTzSQ;juniors-restaurant-new-york-9;e3eaca1e-03e4-46b9-92cf-47148d473ccc;(212) 302-2000;5823.317699660371;https://s3-media0.fl.yelpcdn.com/bphoto/nAxXLD--2FSbIvV38VjnTQ/o.jpg;0;890fefb7-a6b5-44c8-b371-e1dd152d1943;Junior's Restaurant;+12123022000;$$;4.0;6592;https://s3-media0.fl.yelpcdn.com/bphoto/nAxXLD--2FSbIvV38VjnTQ/o.jpg
s3jou_L_LVYGkNHiuhjlew;boucherie-west-village-new-york-3;ce81195e-5f69-431e-87c0-6fec98de6e75;(212) 837-1616;3148.15802778231;https://s3-media0.fl.yelpcdn.com/bphoto/WxNMDkguiN5eVOOA9WEaog/o.jpg;0;45913f85-ef51-454d-a9dd-595a08b6dba0;Boucherie West Village;+12128371616;$$$;4.5;2701;https://s3-media0.fl.yelpcdn.com/bphoto/WxNMDkguiN5eVOOA9WEaog/o.jpg
